Mã HS,Họ tên,Tổ,Điểm vi phạm,Điểm cộng,Điểm hiện tại,Xếp loại
HS10B201,"Nguyễn Văn A",Tổ 1,-7,0,93,Tốt
HS10B202,"Lê Minh Châu",Tổ 2,-1,4,103,Xuất sắc
HS10B203,"Phạm Đức Dũng",Tổ 3,0,2,102,Xuất sắc
HS10B204,"Hoàng Quang Giang",Tổ 4,0,3,103,Xuất sắc
HS10B205,"Huỳnh Ngọc Hà (Đã cập nhật)",Tổ 5,0,0,95,Xuất sắc
HS10B206,"Vũ Thanh Hùng",Tổ Ngoại Khóa 6714,0,0,100,Xuất sắc
HS10B207,"Võ Anh Khánh",Tổ 1,0,0,100,Xuất sắc
HS10B208,"Đặng Gia Lâm",Tổ 2,0,0,100,Xuất sắc
HS10B209,"Bùi Hải Nam",Tổ 3,0,0,100,Xuất sắc
HS10B210,"Đỗ Văn Phương",Tổ 4,0,0,100,Xuất sắc
HS10B211,"Hồ Thị Quân",Tổ 5,0,0,100,Xuất sắc
HS10B212,"Nguyễn Minh Sơn",Tổ Ngoại Khóa 6714,0,0,100,Xuất sắc
HS10B213,"Trần Đức Trang",Tổ 1,0,0,100,Xuất sắc
HS10B214,"Lê Quang Tú",Tổ 2,-2,0,98,Xuất sắc
HS10B215,"Phạm Ngọc Vinh",Tổ 3,0,0,100,Xuất sắc
HS10B216,"Hoàng Thanh Yến",Tổ 4,0,0,100,Xuất sắc
HS10B217,"Huỳnh Anh Anh",Tổ 5,0,0,100,Xuất sắc
HS10B218,"Vũ Gia Bình",Tổ Ngoại Khóa 6714,0,0,100,Xuất sắc
HS10B219,"Võ Hải Châu",Tổ 1,0,0,100,Xuất sắc
HS10B220,"Đặng Văn Dũng",Tổ 2,0,0,100,Xuất sắc
HS10B221,"Bùi Thị Giang",Tổ 3,0,0,100,Xuất sắc
HS10B222,"Đỗ Minh Hà",Tổ 4,0,0,100,Xuất sắc
HS10B223,"Hồ Đức Hùng",Tổ 5,0,0,100,Xuất sắc
HS10B224,"Nguyễn Quang Khánh",Tổ Ngoại Khóa 6714,0,0,100,Xuất sắc
HS10B225,"Trần Ngọc Lâm",Tổ 1,0,0,100,Xuất sắc
HS10B226,"Lê Thanh Nam",Tổ 2,0,0,100,Xuất sắc
HS10B227,"Phạm Anh Phương",Tổ 3,0,0,100,Xuất sắc
HS10B228,"Hoàng Gia Quân",Tổ 4,0,0,100,Xuất sắc
HS10B229,"Huỳnh Hải Sơn",Tổ 5,0,0,100,Xuất sắc
HS10B230,"Vũ Văn Trang",Tổ Ngoại Khóa 6714,0,0,100,Xuất sắc
HS10B231,"Võ Thị Tú",Tổ 1,0,0,100,Xuất sắc
HS10B232,"Đặng Minh Vinh",Tổ 2,0,0,100,Xuất sắc
HS10B233,"Bùi Đức Yến",Tổ 3,0,0,100,Xuất sắc
HS10B234,"Đỗ Quang Anh",Tổ 4,0,0,100,Xuất sắc
HS10B235,"Hồ Ngọc Bình",Tổ 5,0,0,100,Xuất sắc
HS10B236,"Nguyễn Thanh Châu",Tổ Ngoại Khóa 6714,0,0,100,Xuất sắc
HS10B237,"Trần Anh Dũng",Tổ 1,0,0,100,Xuất sắc
HS10B238,"Lê Gia Giang",Tổ 2,0,0,100,Xuất sắc
HS10B239,"Phạm Hải Hà",Tổ 3,0,0,100,Xuất sắc
HS10B240,"Hoàng Văn Hùng",Tổ 4,0,0,100,Xuất sắc
HS10B241,"Huỳnh Thị Khánh",Tổ 5,0,0,100,Xuất sắc
HS10B242,"Vũ Minh Lâm",Tổ Ngoại Khóa 6714,0,0,100,Xuất sắc
HS10B243,"Võ Đức Nam",Tổ 1,0,0,100,Xuất sắc
HS10B244,"Đặng Quang Phương",Tổ 2,0,0,100,Xuất sắc
